Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
880034,1970/01/10,"21 h 48 min 36 sec","PLAINE LORRAINE (SAUVILLE)",VOSGES,,903169.14,6788661.85,48.17,5.73,,
570013,1970/02/23,"14 h 42 min 53 sec","BASSIN SARROIS (HOMBOURG)",LORRAINE,,977232.15,6899287.64,49.13,6.80,4,"ASSEZ SURE"
1140060,1970/03/12,"17 h",ANDORRE,ANDORRE,PRECURSEUR,552769.90,6198035.46,42.87,1.20,,
1140061,1970/03/13,"2 h",ANDORRE,ANDORRE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",577093.76,6186403.69,42.77,1.50,,
1140036,1970/03/16,"6 h 53 min 47 sec",ANDORRE,ANDORRE,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",601419.35,6169301.89,42.62,1.80,,
1140037,1970/03/18,"2 h 47 min 16 sec","CERDAGNE (BOURG-MADAME)","PYRENEES ORIENTALES",,613469.97,6148733.85,42.43,1.95,4,INCERTAINE
860029,1970/04/25,"2 h 17 min 57 sec","BRANDES DU HAUT-POITOU (JARDRES)",POITOU,,514978.54,6612086.20,46.58,0.58,3.5,INCERTAINE
350040,1970/06/07,"0 h 46 min 35 sec","PAYS DE FOUGERES",BRETAGNE,,391838.28,6821063.50,48.42,-1.17,4,"ASSEZ SURE"
1130093,1970/06/18,"9 h 5 min 53 sec","COTE D'AZUR (NICE ?)","ALPES MARITIMES",,1056952.87,6304576.17,43.75,7.43,3.5,INCERTAINE
880035,1970/12/15,"19 h","HAUTES-VOSGES (REMIREMONT)",VOSGES,,969635.24,6772799.73,48.00,6.62,4.5,"ASSEZ SURE"
880036,1970/12/16,"11 h 50 min","HAUTES-VOSGES (REMIREMONT)",VOSGES,REPLIQUE,969635.24,6772799.73,48.00,6.62,,
880037,1970/12/16,"15 h 30 min","HAUTES-VOSGES (REMIREMONT)",VOSGES,REPLIQUE,969635.24,6772799.73,48.00,6.62,,
640508,1971/01/12,"9 h 15 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,,"INFORMATION ISOLÉE"
380097,1971/01/14,"3 h 5 min 44 sec","BELLEDONNE (VIZILLE)",DAUPHINE,,918953.32,6446533.57,45.08,5.78,5,"ASSEZ SURE"
560040,1971/01/31,"23 h 59 min 8 sec","VANNETAIS (ETEL-CARNAC)",BRETAGNE,,237381.43,6743956.86,47.63,-3.17,3,"ASSEZ SURE"
440058,1971/02/03,"19 h 45 min 42 sec","ESTUAIRE DE LA LOIRE (DONGES)","PAYS NANTAIS ET VENDEEN",,316264.90,6703060.84,47.32,-2.08,4,"ASSEZ SURE"
60103,1971/03/24,"8 h 21 min 52 sec","MONTAGNES DU HAUT-VAR (VALBERG-PEONE)","ALPES MARITIMES",,1052622.96,6309899.22,43.80,7.38,3.5,"INFORMATION ISOLÉE"
50083,1971/05/27,"14 h 53 min 40 sec","QUEYRAS (MONT-DAUPHIN)","ALPES DAUPHINOISES",PRECURSEUR,986586.64,6402959.79,44.67,6.62,,
50079,1971/06/06,"21 h 59 min 11 sec","QUEYRAS (MONT-DAUPHIN)","ALPES DAUPHINOISES",,991865.49,6403203.97,44.67,6.68,5.5,"ASSEZ SURE"
50084,1971/06/11,,"QUEYRAS (MONT-DAUPHIN)","ALPES DAUPHINOISES",REPLIQUE,986586.64,6402959.79,44.67,6.62,,
640509,1971/06/16,"4 h 42 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,4,"INFORMATION ISOLÉE"
390015,1971/06/21,"5 h 2 min 48 sec","JURA (VAUX-LES-SAINT-CLAUDE)",FRANCHE-COMTE,PRECURSEUR,910153.29,6586979.51,46.35,5.73,,
390016,1971/06/21,"7 h 25 min 32 sec","JURA (VAUX-LES-SAINT-CLAUDE)",FRANCHE-COMTE,,908808.76,6588785.12,46.37,5.72,7,SURE
390017,1971/06/21,"8 h 25 min","JURA (VAUX-LES-SAINT-CLAUDE)",FRANCHE-COMTE,REPLIQUE,910153.29,6586979.51,46.35,5.73,,
390018,1971/07/02,"0 h 5 min","JURA (VAUX-LES-SAINT-CLAUDE)",FRANCHE-COMTE,REPLIQUE,910153.29,6586979.51,46.35,5.73,,
390019,1971/07/02,"5 h 20 min","JURA (VAUX-LES-SAINT-CLAUDE)",FRANCHE-COMTE,REPLIQUE,910153.29,6586979.51,46.35,5.73,,
390020,1971/07/08,"22 h 25 min","JURA (LAVANCIA-EPERCY)",FRANCHE-COMTE,,906373.40,6584997.80,46.33,5.68,,
50080,1971/08/15,"0 h 36 min 45 sec","QUEYRAS (CHATEAU-VILLE-VIEILLE)","ALPES DAUPHINOISES",,997492.87,6423855.73,44.85,6.77,5,"ASSEZ SURE"
50094,1971/08/15,"0 h 48 min 47 sec","QUEYRAS (ABRIES)","ALPES DAUPHINOISES",REPLIQUE,1010922.08,6418950.88,44.80,6.93,,
880038,1971/09/03,"21 h 33 min 8 sec","HAUTES-VOSGES (RAMBERVILLERS, DESTORD)",VOSGES,,969428.54,6804310.96,48.28,6.63,5,"ASSEZ SURE"
650403,1971/09/07,"7 h 54 min 26 sec","BIGORRE (CAMPAN)","PYRENEES CENTRALES",,464529.51,6209923.60,42.95,0.12,5,"ASSEZ SURE"
200011,1971/09/29,"20 h 47 min 32 sec","CASTAGNICCIA (SAN GIULIANO)",CORSE,,1234920.84,6155296.61,42.30,9.48,3.5,INCERTAINE
850042,1971/11/30,"5 h 23 min 18 sec","COTE VENDEENNE (ST-GILLES-CROIX-DE-VIE)","PAYS NANTAIS ET VENDEEN",,302963.13,6635289.52,46.70,-2.20,4.5,ARBITRAIRE
300015,1971/12/10,"0 h 2 min 41 sec","COTES DU RHONE (PUJAUT)",CEVENNES,,840226.23,6329442.61,44.05,4.75,4.5,INCERTAINE
300023,1971/12/11,"7 h 45 min","COTES DU RHONE (PUJAUT)",CEVENNES,REPLIQUE,843022.19,6323948.26,44.00,4.78,4,"INFORMATION ISOLÉE"
860035,1971/12/17,"4 h 46 min 40 sec","PLAINES DU HAUT-POITOU (W. LATILLE ?)",POITOU,,495970.32,6616402.17,46.62,0.33,4,INCERTAINE
40135,1972/01/21,"1 h 9 min 26 sec","HAUT-VERDON (CASTELLANE)","ALPES PROVENCALES",,982707.30,6311961.93,43.85,6.52,4,INCERTAINE
640477,1972/01/23,"21 h 37 min","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640367,1972/01/24,"2 h 46 min 31 sec","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,4,"ASSEZ SURE"
640478,1972/01/24,"4 h","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640368,1972/01/25,"4 h 15 min","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640479,1972/01/25,"9 h 15 min","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640480,1972/01/25,"15 h 15 min","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640481,1972/02/02,"23 h","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
640482,1972/02/02,"23 h 30 min","BEARN (LACQ)","PYRENEES OCCIDENTALES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",410850.33,6258479.39,43.37,-0.57,,
860030,1972/03/17,"5 h 33 min 28 sec","CHATELLERAUDAIS (PUSSIGNY)",POITOU,,515071.78,6656529.30,46.98,0.57,5,SURE
860034,1972/03/17,"6 h 16 min 37 sec","CHATELLERAUDAIS (PUSSIGNY)",POITOU,REPLIQUE,515071.78,6656529.30,46.98,0.57,,
50095,1972/03/28,"1 h 53 min 13 sec","BRIANCONNAIS (LA SALLE)","ALPES DAUPHINOISES",,981206.32,6434217.71,44.95,6.57,,
390021,1972/03/31,"3 h 54 min 31 sec","PLATEAUX JURASSIENS (CLAIRVAUX-LES-LACS)",FRANCHE-COMTE,,910531.94,6612921.10,46.58,5.75,4.5,"ASSEZ SURE"
40136,1972/06/19,"4 h 9 min 50 sec","PREALPES DE DIGNE (LA BREOLE)","ALPES PROVENCALES",,960017.66,6374004.03,44.42,6.27,5,"ASSEZ SURE"
170079,1972/09/07,"22 h 26 min 54 sec","ILE D'OLERON",CHARENTES,,363205.20,6548200.61,45.95,-1.35,7,SURE
170106,1972/09/07,"22 h 42 min 4 sec","ILE D'OLERON",CHARENTES,REPLIQUE,367072.56,6547988.57,45.95,-1.30,,
170080,1972/09/08,"1 h 51 min 48 sec","ILE D'OLERON",CHARENTES,REPLIQUE,367072.56,6547988.57,45.95,-1.30,5,INCERTAINE
170081,1972/09/08,"4 h 58 min 27 sec","ILE D'OLERON",CHARENTES,REPLIQUE,376390.96,6553048.06,46.00,-1.18,,
170082,1972/09/08,"6 h 31 min 44 sec","ILE D'OLERON",CHARENTES,REPLIQUE,374111.16,6558729.83,46.05,-1.22,,
170083,1972/09/08,"8 h 1 min 24 sec","ILE D'OLERON",CHARENTES,REPLIQUE,376390.96,6553048.06,46.00,-1.18,,
170084,1972/09/08,"9 h 20 min 11 sec","ILE D'OLERON",CHARENTES,REPLIQUE,379939.40,6571394.93,46.17,-1.15,,"INFORMATION ISOLÉE"
170107,1972/09/08,"0 h 31 min 33 sec","ILE D'OLERON",CHARENTES,REPLIQUE,361140.52,6557583.23,46.03,-1.38,,
170085,1972/09/09,"2 h 48 min 1 sec","ILE D'OLERON",CHARENTES,REPLIQUE,367072.56,6547988.57,45.95,-1.30,5,INCERTAINE
170086,1972/09/09,"3 h 6 min 23 sec","ILE D'OLERON",CHARENTES,REPLIQUE,367072.56,6547988.57,45.95,-1.30,,
170087,1972/09/10,"2 h 26 min 4 sec","ILE D'OLERON",CHARENTES,REPLIQUE,367072.56,6547988.57,45.95,-1.30,,"INFORMATION ISOLÉE"
170088,1972/09/11,"5 h 1 min 46 sec","ILE D'OLERON",CHARENTES,REPLIQUE,370641.34,6542234.51,45.90,-1.25,,
170089,1972/09/11,"7 h 48 min 32 sec","ILE D'OLERON",CHARENTES,REPLIQUE,369164.53,6562703.34,46.08,-1.28,5,"ASSEZ SURE"
640510,1972/11/11,"0 h 47 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,3.5,"INFORMATION ISOLÉE"
170090,1972/11/12,"2 h 43 min 10 sec","ILE D'OLERON",CHARENTES,REPLIQUE,367072.56,6547988.57,45.95,-1.30,,
840100,1972/12/09,"5 h 36 min 31 sec","COMTAT (CARPENTRAS)",VAUCLUSE,,854959.12,6327933.93,44.03,4.93,4,"ASSEZ SURE"
640369,1972/12/15,"9 h 4 min 40 sec","BEARN (LURBE-SAINT-CHRISTAU)","PYRENEES OCCIDENTALES",,405527.13,6230900.45,43.12,-0.62,4,"ASSEZ SURE"
640370,1972/12/31,"7 h 16 min 56 sec","BEARN (VIELLESEGURE-LACQ)","PYRENEES OCCIDENTALES",,401571.74,6262614.78,43.40,-0.68,5,"ASSEZ SURE"
640371,1973/01/02,"15 h 49 min","BEARN (OGEU-LES-BAINS)","PYRENEES OCCIDENTALES",,415184.16,6234174.69,43.15,-0.50,,
170091,1973/01/06,"2 h 6 min 38 sec","ILE D'OLERON",CHARENTES,REPLIQUE,362222.99,6553815.86,46.00,-1.37,5,"ASSEZ SURE"
170092,1973/01/20,"10 h 37 min 29 sec","ILE D'OLERON",CHARENTES,REPLIQUE,367072.56,6547988.57,45.95,-1.30,5,"ASSEZ SURE"
640372,1973/02/15,"17 h 4 min","BEARN (ESTIALESCQ)","PYRENEES OCCIDENTALES",,410097.40,6241821.59,43.22,-0.57,4.5,INCERTAINE
170093,1973/02/19,"20 h 27 min 51 sec","ILE D'OLERON",CHARENTES,REPLIQUE,374315.67,6538330.77,45.87,-1.20,,
880039,1973/02/22,"6 h 48 min 32 sec","HAUTES-VOSGES (S-W. RAMBERVILLERS)",VOSGES,,960700.55,6805769.87,48.30,6.52,4,INCERTAINE
640373,1973/04/11,"3 h 10 min 25 sec","BEARN (LURBE-SAINT-CHRISTAU)","PYRENEES OCCIDENTALES",,405357.44,6227198.18,43.08,-0.62,4,"ASSEZ SURE"
170094,1973/04/25,"21 h 25 min 48 sec","ILE D'OLERON",CHARENTES,REPLIQUE,367072.56,6547988.57,45.95,-1.30,,
880040,1973/07/22,"21 h 6 min 58 sec","HAUTES-VOSGES (RAMBERVILLERS, NONZEVILLE)",VOSGES,,969513.74,6802460.62,48.27,6.63,4.5,INCERTAINE
30025,1973/08/26,"4 h 46 min 56 sec","HAUTE-MARCHE (MONTLUCON)",BOURBONNAIS,,669230.47,6581568.87,46.33,2.60,3,"INFORMATION ISOLÉE"
650404,1973/09/19,"23 h 29 min 4 sec","BEARN (ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",,435058.74,6222196.29,43.05,-0.25,5,"ASSEZ SURE"
640374,1973/11/12,"21 h 5 min","PAYS BASQUE (TARDETS-SORHOLUS)","PYRENEES OCCIDENTALES",,385187.61,6231864.97,43.12,-0.87,4,INCERTAINE
640375,1973/12/13,"8 h 8 min 43 sec","BEARN (NAY-BOURDETTES)","PYRENEES OCCIDENTALES",,434160.64,6233361.10,43.15,-0.27,6.5,"ASSEZ SURE"
640511,1974/01/26,"1 h 19 min","PAYS BASQUE (TARDETS-SORHOLUS)","PYRENEES OCCIDENTALES",,386453.19,6229947.80,43.10,-0.85,,
40137,1974/02/08,"20 h 12 min 17 sec","PREALPES DE DIGNE (THORAME)","ALPES PROVENCALES",,978559.31,6345144.43,44.15,6.48,5,"ASSEZ SURE"
50085,1974/02/18,"10 h 30 min","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES",PRECURSEUR,986714.23,6428909.85,44.90,6.63,,
640512,1974/02/19,"19 h 45 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,3.5,"ASSEZ SURE"
50081,1974/02/22,"12 h 39 min 27 sec","BRIANCONNAIS (BRIANCON)","ALPES DAUPHINOISES",,981289.91,6432368.45,44.93,6.57,4.5,INCERTAINE
850043,1974/03/02,"0 h 23 min 35 sec","PERTUIS BRETON  (W. LA TRANCHE-SUR-MER)","PAYS NANTAIS ET VENDEEN",,342400.46,6590172.46,46.32,-1.65,3,"ASSEZ SURE"
300016,1974/03/13,"3 h 17 min 34 sec","COTES DU RHONE (ROCHEFORT-DU-GARD)",CEVENNES,"GROUPE DE SECOUSSES D UN ESSAIM",837756.99,6320126.90,43.97,4.72,,
120004,1974/04/18,"2 h 24 min 34 sec","CHATAIGNERAIE (CONQUES)",QUERCY-ROUERGUE,,653637.55,6379904.67,44.52,2.42,5,"ASSEZ SURE"
260191,1974/05/10,"2 h 10 min 23 sec","TRICASTIN (PIERRELATTE)",DAUPHINE,"GROUPE DE SECOUSSES D UN ESSAIM",843345.69,6368407.19,44.40,4.80,,
90030,1974/08/06,"9 h 12 min 6 sec","DONEZAN (AX-LES-THERMES)","PYRENEES CENTRALES",,604212.25,6172968.06,42.65,1.83,5,INCERTAINE
40138,1974/08/07,"20 h 38 min 30 sec","UBAYE (LE LAUZET)","ALPES PROVENCALES",,969219.06,6376244.75,44.43,6.38,5,"ASSEZ SURE"
640376,1974/08/13,"12 h 52 min 13 sec","PAYS BASQUE (ST-JEAN-PIED-DE-PORT)","PYRENEES OCCIDENTALES",,355660.01,6238947.02,43.17,-1.23,3,"INFORMATION ISOLÉE"
1130100,1974/09/08,"12 h 57 min 31 sec","MEDITERRANEE (S-E. MONACO)","ALPES MARITIMES",,1049722.25,6289333.68,43.62,7.33,3,ARBITRAIRE
640377,1974/10/31,"7 h 15 min 40 sec","BEARN (ARAMITS)","PYRENEES OCCIDENTALES",,404085.88,6229111.64,43.10,-0.63,5,"ASSEZ SURE"
880041,1974/11/12,"2 h 58 min 38 sec","HAUTES-VOSGES (AYDOILLES)",VOSGES,,962266.67,6798422.94,48.23,6.53,5,"ASSEZ SURE"
640378,1974/12/30,"4 h 21 min 21 sec","PAYS BASQUE (LACARRY-ARHAN)","PYRENEES OCCIDENTALES",,382384.45,6230147.63,43.10,-0.90,4,"ASSEZ SURE"
370021,1975/01/07,"6 h 27 min 7 sec","PLATEAU DE SAINTE-MAURE (JAULNAY ?)",TOURAINE,,504761.67,6651299.67,46.93,0.43,,
390023,1975/01/08,"9 h 12 min 45 sec","PLATEAUX JURASSIENS (SALINS-LES-BAINS)",FRANCHE-COMTE,,915912.92,6640893.86,46.83,5.83,3,"ASSEZ SURE"
70010,1975/02/19,"17 h 49 min 15 sec","BAS-VIVARAIS (BOURG-SAINT-ANDEOL)",CEVENNES,,831479.41,6364444.07,44.37,4.65,4.5,"ASSEZ SURE"
410004,1975/03/29,"22 h 58 min 31 sec","SOLOGNE (SALBRIS ?)","ORLEANAIS-BLESOIS-PAYS CHARTRAIN",,629365.40,6680014.25,47.22,2.07,3.5,ARBITRAIRE
230025,1975/04/13,"4 h 56 min 29 sec","HAUTE-MARCHE (DUN-LE-PALESTEL)",LIMOUSIN,,599881.23,6574911.68,46.27,1.70,5.5,"ASSEZ SURE"
740117,1975/05/29,"0 h 32 min 40 sec","AVANT-PAYS SAVOYARD (FRANGY)","ALPES SAVOYARDES",,928186.96,6550587.71,46.02,5.95,5.5,"ASSEZ SURE"
740127,1975/05/29,"0 h 45 min 10 sec","AVANT-PAYS SAVOYARD (FRANGY)","ALPES SAVOYARDES",REPLIQUE,928186.96,6550587.71,46.02,5.95,,
740128,1975/05/29,"1 h","AVANT-PAYS SAVOYARD (FRANGY)","ALPES SAVOYARDES",REPLIQUE,928186.96,6550587.71,46.02,5.95,,
360023,1975/06/05,"23 h 24 min 6 sec","CHAMPAGNE BERRICHONNE (NEUVY-PAILLOUX ?)",BERRY,,611160.84,6643229.29,46.88,1.83,3,ARBITRAIRE
640513,1975/07/22,"1 h 20 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,390522.06,6229750.55,43.10,-0.80,,
640514,1975/08/04,"14 h 21 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389434.32,6235368.53,43.15,-0.82,,
220025,1975/08/30,"14 h 7 min 50 sec","TREGOR (BEGARD)",BRETAGNE,,238411.92,6851636.88,48.60,-3.27,5.5,INCERTAINE
860031,1975/12/28,"2 h 16 min 8 sec","BRANDES DU HAUT-POITOU (N-W. FLEURE)",POITOU,,508307.65,6603034.80,46.50,0.50,4,"ASSEZ SURE"
170096,1976/01/10,"22 h 3 min 3 sec","ILE D'OLERON",CHARENTES,,376390.96,6553048.06,46.00,-1.18,,
170097,1976/02/11,"23 h 43 min 55 sec","ILE D'OLERON",CHARENTES,,362120.69,6551967.82,45.98,-1.37,4,"ASSEZ SURE"
50082,1976/06/07,"0 h 8 min 49 sec","QUEYRAS (GUILLESTRE)","ALPES DAUPHINOISES",,989055.00,6406779.88,44.70,6.65,4,INCERTAINE
640379,1976/06/27,"7 h 45 min 23 sec","PAYS BASQUE (ARNEGUY)","PYRENEES OCCIDENTALES",,351295.57,6233615.59,43.12,-1.28,3.5,"INFORMATION ISOLÉE"
180023,1976/08/12,"22 h 52 min 33 sec","SANCERROIS (SANCERRE)",BERRY,,688672.37,6692566.86,47.33,2.85,4,SURE
870020,1976/09/08,"19 h 54 min 41 sec","PLATEAU DU LIMOUSIN (S-W. ORADOUR-SUR-VAYRES)",LIMOUSIN,,528777.89,6511693.19,45.68,0.80,5,SURE
340020,1976/09/27,"3 h 30 min","PLATEAU DE L'ESPINOUZE (ST-GERVAIS-SUR-MARE)",LANGUEDOC,PRECURSEUR,702689.15,6285292.60,43.67,3.03,3,"ASSEZ SURE"
340021,1976/09/27,"4 h 13 min 35 sec","PLATEAU DE L'ESPINOUZE (ST-GERVAIS-SUR-MARE)",LANGUEDOC,,702689.15,6285292.60,43.67,3.03,4,INCERTAINE
850044,1976/10/09,"1 h","ATLANTIQUE (S. ILE D'YEU)","PAYS NANTAIS ET VENDEEN",,287599.36,6615914.30,46.52,-2.38,,
40139,1976/10/18,"11 h 56 min 14 sec","UBAYE (LE LAUZET)","ALPES PROVENCALES",,973195.18,6376416.48,44.43,6.43,4,"ASSEZ SURE"
640515,1976/12/11,"3 h 51 min 45 sec","PAYS BASQUE (TARDETS-SORHOLUS)","PYRENEES OCCIDENTALES",,385187.61,6231864.97,43.12,-0.87,,"INFORMATION ISOLÉE"
640380,1976/12/12,"13 h 17 min 33 sec","OSSAU (IZESTE)","PYRENEES OCCIDENTALES",,420364.17,6228382.75,43.10,-0.43,4,"INFORMATION ISOLÉE"
360024,1976/12/23,,"MARCHE-BOISCHAUT (EGUZON)",BERRY,,591229.16,6593572.05,46.43,1.58,,
360025,1977/04/06,"11 h 9 min 33 sec","MARCHE-BOISCHAUT (EGUZON)",BERRY,,598998.95,6598991.13,46.48,1.68,5,INCERTAINE
360026,1977/04/16,"0 h 10 min 9 sec","MARCHE-BOISCHAUT (EGUZON)",BERRY,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",598998.95,6598991.13,46.48,1.68,,
360027,1977/04/26,"11 h 39 min 39 sec","MARCHE-BOISCHAUT (EGUZON)",BERRY,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",598998.95,6598991.13,46.48,1.68,,
30026,1977/04/27,"23 h 25 min 20 sec","BOCAGE BOURBONNAIS (CERILLY)",BOURBONNAIS,,687237.89,6609268.13,46.58,2.83,5,SURE
30027,1977/04/28,"3 h 22 min 23 sec","BOCAGE BOURBONNAIS (CERILLY)",BOURBONNAIS,REPLIQUE,703828.63,6609255.88,46.58,3.05,,
870022,1977/04/29,"18 h 15 min 2 sec","PLATEAU DU LIMOUSIN (CHALUS)",LIMOUSIN,,542948.60,6507611.74,45.65,0.98,3,INCERTAINE
640381,1977/04/30,"22 h 41 min 38 sec","BEARN (MOURENX)","PYRENEES OCCIDENTALES",,405449.49,6258725.80,43.37,-0.63,5,"INFORMATION ISOLÉE"
360028,1977/05/17,"2 h 49 min 47 sec","MARCHE-BOISCHAUT (EGUZON)",BERRY,"SECOUSSE INDIVIDUALISEE D UN ESSAIM",598998.95,6598991.13,46.48,1.68,5,INCERTAINE
700019,1977/06/27,"21 h 30 min","PLATEAU DE HAUTE-SAONE (VESOUL)",FRANCHE-COMTE,,934060.07,6728651.54,47.62,6.12,4,"ASSEZ SURE"
640382,1977/07/22,"23 h 15 min","BEARN (PAU)","PYRENEES OCCIDENTALES",,426738.33,6250363.45,43.30,-0.37,,
310029,1977/07/26,"22 h 45 min","HAUT-COMMINGES (LUCHON)","PYRENEES CENTRALES",,503481.12,6191930.10,42.80,0.60,4,"INFORMATION ISOLÉE"
40144,1977/08,,"UBAYE (LARCHE)","ALPES PROVENCALES","GROUPE DE SECOUSSES D UN ESSAIM",1006234.87,6379794.78,44.45,6.85,,
640383,1977/08/09,"23 h 9 min 9 sec","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,387809.50,6229881.76,43.10,-0.83,3.5,"ASSEZ SURE"
640384,1977/08/10,"23 h 54 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",REPLIQUE,389165.73,6229816.01,43.10,-0.82,3,"INFORMATION ISOLÉE"
40145,1977/09,,"UBAYE (LARCHE)","ALPES PROVENCALES","GROUPE DE SECOUSSES D UN ESSAIM",1006234.87,6379794.78,44.45,6.85,,
650405,1977/09/01,"20 h 43 min 24 sec","LAVEDAN (FERRIERES)","PYRENEES CENTRALES",PRECURSEUR,433547.53,6218549.27,43.02,-0.27,4,"INFORMATION ISOLÉE"
650407,1977/09/07,"22 h 50 min 35 sec","LAVEDAN (FERRIERES)","PYRENEES CENTRALES",,433624.17,6220400.77,43.03,-0.27,5,"ASSEZ SURE"
650408,1977/09/07,"23 h","LAVEDAN (FERRIERES)","PYRENEES CENTRALES","GROUPE DE SECOUSSES D UN ESSAIM",433624.17,6220400.77,43.03,-0.27,,
650409,1977/09/08,"2 h","LAVEDAN (FERRIERES)","PYRENEES CENTRALES","GROUPE DE SECOUSSES D UN ESSAIM",433624.17,6220400.77,43.03,-0.27,,
640385,1977/09/12,"22 h 20 min 28 sec","PAYS BASQUE (STE-ENGRACE)","PYRENEES OCCIDENTALES",,383285.22,6220826.43,43.02,-0.88,6.5,INCERTAINE
650410,1977/09/29,"1 h 58 min 50 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,466360.80,6222837.84,43.07,0.13,5,"ASSEZ SURE"
650411,1977/09/29,"2 h 5 min 30 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",REPLIQUE,466360.80,6222837.84,43.07,0.13,,
1130154,1977/10/03,"1 h 26 min 38 sec","UBAYE (LARCHE)","ALPES PROVENCALES",,1006234.87,6379794.78,44.45,6.85,,
170098,1977/10/10,"6 h 5 min 57 sec","ILE D'OLERON",CHARENTES,,370450.52,6562633.65,46.08,-1.27,5,INCERTAINE
170099,1977/10/13,"2 h 31 min 55 sec","ILE D'OLERON",CHARENTES,REPLIQUE,379939.40,6571394.93,46.17,-1.15,3,"INFORMATION ISOLÉE"
640386,1977/11/09,"16 h 24 min","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,397303.76,6229427.52,43.10,-0.72,,
640387,1977/12/01,"16 h 7 min","BEARN (SAUVETERRE-DE-BEARN)","PYRENEES OCCIDENTALES",,379983.46,6263659.07,43.40,-0.95,5,"INFORMATION ISOLÉE"
670114,1977/12/16,"20 h 28 min 7 sec","PLAINE DE BASSE-ALSACE (MOLSHEIM)",ALSACE,,1029698.03,6833374.48,48.52,7.47,4.5,SURE
40146,1978/01,,"UBAYE (LARCHE)","ALPES PROVENCALES","GROUPE DE SECOUSSES D UN ESSAIM",1006234.87,6379794.78,44.45,6.85,,
640388,1978/01/05,"1 h 12 min 25 sec","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,390611.21,6231601.47,43.12,-0.80,4,"ASSEZ SURE"
30032,1978/02/11,"14 h 13 min 14 sec","COMBRAILLE (N-W. ST-POURCAIN-SUR-SIOULE)",BOURBONNAIS,,708963.57,6588901.15,46.40,3.12,4,SURE
640389,1978/02/17,"2 h 34 min 17 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,393234.69,6229620.48,43.10,-0.77,4,"ASSEZ SURE"
640390,1978/02/17,"4 h 33 min 41 sec","BEARN (ARETTE)","PYRENEES OCCIDENTALES",,393234.69,6229620.48,43.10,-0.77,4,"ASSEZ SURE"
640391,1978/02/17,"19 h 39 min 8 sec","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,393234.69,6229620.48,43.10,-0.77,,
200012,1978/04/02,"20 h 10 min 20 sec","CASTAGNICCIA (CERVIONE)",CORSE,PRECURSEUR,1236597.85,6151713.30,42.27,9.50,4,INCERTAINE
640392,1978/04/02,"22 h 53 min","BEARN (MONTORY)","PYRENEES OCCIDENTALES",,389165.73,6229816.01,43.10,-0.82,3.5,"ASSEZ SURE"
